# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Sat, 2015-10-03 12:49:13
# energy calib 0: 0
# energy calib 1: 0.125
# energy calib 2: 0
# live time (s): 9785.77
# real time (s): 10800.00
# column_1	column_2
91.125000	315.000000
91.250000	333.000000
91.375000	362.000000
91.500000	368.000000
91.625000	327.000000
91.750000	343.000000
91.875000	368.000000
92.000000	324.000000
92.125000	371.000000
92.250000	358.000000
92.375000	347.000000
92.500000	367.000000
92.625000	360.000000
92.750000	387.000000
92.875000	377.000000
93.000000	339.000000
93.125000	346.000000
93.250000	333.000000
93.375000	364.000000
93.500000	328.000000
93.625000	356.000000
93.750000	341.000000
93.875000	374.000000
94.000000	338.000000
94.125000	333.000000
94.250000	326.000000
94.375000	371.000000
94.500000	372.000000
94.625000	363.000000
94.750000	346.000000
94.875000	345.000000
95.000000	346.000000
95.125000	366.000000
95.250000	325.000000
95.375000	366.000000
95.500000	362.000000
95.625000	345.000000
95.750000	331.000000
95.875000	320.000000
96.000000	336.000000
96.125000	317.000000
96.250000	345.000000
96.375000	336.000000
96.500000	328.000000
96.625000	302.000000
96.750000	339.000000
96.875000	327.000000
97.000000	356.000000
97.125000	344.000000
97.250000	314.000000
97.375000	326.000000
97.500000	358.000000
97.625000	336.000000
97.750000	363.000000
97.875000	334.000000
98.000000	285.000000
98.125000	339.000000
98.250000	331.000000
98.375000	340.000000
98.500000	324.000000
98.625000	317.000000
98.750000	300.000000
98.875000	327.000000
99.000000	318.000000
99.125000	311.000000
99.250000	315.000000
99.375000	308.000000
99.500000	329.000000
99.625000	308.000000
99.750000	303.000000
99.875000	324.000000
100.000000	316.000000
100.125000	291.000000
100.250000	284.000000
100.375000	280.000000
100.500000	294.000000
100.625000	284.000000
100.750000	285.000000
100.875000	283.000000
101.000000	274.000000
101.125000	297.000000
101.250000	303.000000
101.375000	278.000000
101.500000	271.000000
101.625000	287.000000
101.750000	283.000000
101.875000	280.000000
102.000000	260.000000
102.125000	292.000000
102.250000	260.000000
102.375000	277.000000
102.500000	266.000000
102.625000	237.000000
102.750000	223.000000
102.875000	254.000000
103.000000	237.000000
103.125000	228.000000
103.250000	271.000000
103.375000	246.000000
103.500000	255.000000
103.625000	249.000000
